species;forewing;proboscis;proboscis.sd;avg.ca;sd.ca;sd.ca.fixed;slope.ca;prob.wing;radius.galea;sd.galea;radius.food;sd.food;curv.food;sd.curv.food;tapering.angle;lab;group;sp.in.tree;N
Agrius_cingulata;50.5;113;13.20173149;46.68928571;3.623474568;4.086973637;-0.4952;2.237623762;0.12349375;0.021381163;0.114233333;0.004828795;1.076625324;0.155336454;0.113340454;1;Sphinginae;A_cingulata_Agrius_1;7
Dolba_hyloeus;28.3;45;6.099180273;45.30029762;3.611834722;4.073844873;-0.6163;1.590106007;0.07465;0.01328496;0.0548233;0.001680711;1.359122001;0.217520597;0.297325549;2;Sphinginae;D_hyloeus_Dolba_1;5
Eumorpha_fasciatus;44.396;36.5;3.5;68.73767857;16.92517857;19.09017362;-1.694;0.822146139;0.092858333;0.009206876;0.067102;0.003406108;1.668499935;0.10855846;0.282374041;3;Macroglossinae;NA;2
Eumorpha_pandorus;50;40.33333333;3.590109871;52.15833333;2.667773208;3.009023126;-5.015;0.806666667;0.130901389;0.039417116;0.07726745;0.00732886;1.665068485;0.387248232;0.606414223;4;Macroglossinae;E_pandorus_Eumop_1;6
Enyo_lugubris;31;24.9;1.907878403;56.45142857;3.935911714;4.43937638;-9.95;0.803225806;0.138845833;0.027649818;0.0709978;0.003064505;1.946948511;0.339333572;0.300868786;5;Macroglossinae;Enyo_lugubris_14150;5
Hemaris_thysbe;27.11;22.5;1.82428068;54.18;0.863481326;0.973934093;-8.462;0.829952047;0.0778;0.010751854;0.053414003;0.02039974;1.74787691;0.723404215;0.464838287;6;Macroglossinae;H_diffinis_Hemmd_1;5
Hyles_lineata;31;37.91666667;4.147455713;78.16914683;4.765412714;5.374983532;-4.215;1.22311828;0.094970833;0.0161855;0.056598708;0.012184082;1.620554391;0.12715184;0.4115952;7;Macroglossinae;H_lineata_Hylesl_1;6
Manduca_quinquemaculata;56.8;100.4;7.031358332;51.77041534;8.857858639;9.990917297;-0.4343;1.767605634;0.128476389;0.038285136;0.0980003;0.007480371;1.299070192;0.342090729;0.226383444;8;Sphinginae;M_quinquemaculatus_Manducaq_1;5
Manduca_rustica;59.9;88.4;11.25344392;45.58473214;3.637614012;4.102921737;-1.094;1.475792988;0.146438889;0.022589403;0.085312708;0.024805929;1.864261567;0.675167494;0.230726803;9;Sphinginae;M_rustica_Rust;5
Manduca_sexta;52.8;77;8.921883209;46.7470881;7.149491897;8.06402373;-3.379;1.458333333;0.1016625;0.031943816;0.06215605;0.005636107;1.625946491;0.457058725;0.336312979;10;Sphinginae;M_sexta_Manducas_1;5
Paratrea_plebeja;31.3;55.4;2.870540019;41.35714286;0.975929117;1.100765715;0.6644;1.769968051;0.106348958;0.007948375;0.045361313;0.002975622;2.336044705;0.544150412;0.388215977;11;Sphinginae;P_plebja_Paratrea_1;5
Xylophanes_tersa;30;32.22;1.507846146;51.58295238;5.007131027;5.647621398;-2.596;1.074;0.10925;0.019055584;0.06291383;0.014855638;1.769202374;0.223005228;0.281940544;12;Macroglossinae;X_tersa_Xyloter_1;5
Darapsa_myron;28;12.4;0.8;65.03571429;3.535714286;3.987987442;-9.275;0.442857143;0.058966667;0.034552319;0.04223502;0.006419376;1.296315975;0.592634703;0.740237005;13;Macroglossinae;D_myron_Darapsa_1;2
