species;side;avg;sd
Dolba_hyloeus;right;50.82777778;4.298405211
Dolba_hyloeus;left;49.56759259;3.68184143
Hemaris_thysbe;right;59.86666667;1.799106195
Hemaris_thysbe;left;60.43333333;1.347719319
Paratrea_plebeja;right;48.51428571;2.287778166
Paratrea_plebeja;left;48.11428571;2.005951532
Manduca_sexta;right;53.76990794;8.646877518
Manduca_sexta;left;52.81904563;11.17060014
Manduca_rustica;right;50.7;4.2
Manduca_rustica;left;51.4;3.6
Xylophanes_tersa;right;56.4634375;5.607546491
Xylophanes_tersa;left;56.59275;5.752990617
Hyles_lineata;right;76.12916667;6.801379244
Hyles_lineata;left;76.45;6.798077595
Eumorpha_pandorus;right;58.61111111;4.427208166
Eumorpha_pandorus;left;57.90555556;4.295691425
Enyo_lugubris;right;61.28888889;3.423416196
Enyo_lugubris;left;61.91111111;3.687682057
Agrius_cingulata;right;48.93333333;4.456076167
Agrius_cingulata;left;49.33177083;4.001015361
Darapsa_myron;right;72.5;5.666666667
Darapsa_myron;left;72.75;7.083333333
Manduca_quinquemaculata;right;55.85138542;8.901344424
Manduca_quinquemaculata;left;56.7111875;9.588568361
